_content,aera,ans_content,ans_date,date,department,source,url
"我要查询社保的用户名怎么查,登陆支付宝怎么查询,申请支付宝怎么查询","杭州,上城区","徐卫国：
     您好，您于2019年1月28日向******卫计局咨询的社保查询的相关问题，已转送我局。我工作人员已经告知你如何操作，并告知你也可登录微信公众号“杭州市人力社保”查询，你表示认可，感谢对我们工作的支持和理解。
",2019/02/02,2019/01/28,上城区人力社保局,手机APP,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303334353334393536
杭州可溯金融坑害百姓，骗钱数亿！出借人含屈受辱，求诉无门！上城经侦罔顾事实，不予立案！上城金融办协助可溯，糊弄苦主！恳请各位青天大老爷：睁开明眸，严加查办娄杭杰等在其位不谋其政置百姓生死于不顾的相关部门负责人！,"杭州,上城区",目前可溯平台正在进行的出借人确权，确权行为主体是可溯平台（企业），政府相关部门（金融办、经******）作为监督单位。确权经过第三方机构法大大的验证，数据除了平台自身服务器保存，企业云保存外，也在经侦及金融办分别保存。下一步在选举出借委会后，相关确权数据也将移交借委会一份，供查询。新一届借委会也将把同权同兑做为第一要务，督促平台落实。,2019/01/29,2019/01/29,杭州市上城区人民政府金融工作办公室,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303334393738343235
在韵达快递上班，被拖欠2个月的工资，没有签劳动合同，该如何申诉，需要准备什么材料?,"杭州,上城区",   您好，您于2019年1月28日向******信访局反映的公司拖欠工资的问题，已转送我局。由于没有你的联系电话，无法与你核实相关情况，请你到劳动行为地的劳动保障监察部门投诉，上城区劳动保障监察大队咨询电话：87*****1，感谢对我们工作的支持和理解。,2019/01/29,2019/01/28,上城区人力社保局,浙江省政务服务网,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303334333236323535
"    可溯金融作为一个涉嫌严重合同诈骗、自融的问题平台，劣行累累。爆雷半年来，可溯在幕后“高人”指点下，诈******扣一环，比电视剧还精彩，但就是不还钱不兑付。
    不但如此，可溯金融长期在******金融办的指导下，导演一出不确权不兑付的戏码，一切以确权为中心开展工作，剥夺未确权出借人的多项合法权益，包括：非法截留本应用于兑付的资金；还步步紧逼，又在金融办的指导下，成立所谓的借委会，未确权出借人没有被选举权，却有凑数的选举权。试图借用这个傀儡进行名正言顺的收割榨取。
    种种恶行，真的是罄竹难书，众多出借人都极度气愤。而作为监管部门的金融办在多次“协调”过程中无一不是帮着可溯说话，从来不会考虑估计我们难民的感受，严重背离了“协调”的基本职能，成了事件不断恶化的重要推手。比如金融办工作人员徐翔在10月下旬当面说：确权是你们自愿行为。却对可溯在确权中严重违反合同法的所谓确权协议只字不提；再如1.21日，娄杭杰嚣张的表示你们不确权就无法确保能兑付，与之前当面承诺不确权享有同权兑付的******而驰。国十条、浙江省金融处置有关条例他们视而不见。作为国家公务人员说话如此儿戏，如此学习贯彻国家、省里条例真的是让人目瞪口呆，2人忽悠本领也让人瞠目结舌，但就是不会真正替广大金融受害者说话，这种职业道德操守让人难以接受，并非常愤慨。
    请问徐翔和娄杭杰：
    严重践踏出借人切身利益的投票确权系统让可溯开发？谁来监管数据库的真实完整性？由于相关保密协议？麻烦请公示。
    恳请领导彻查这些被人民群众痛恨的不称职的国家公务人员，这些人严重破坏党和国家在人民群众的形象，是社会和谐稳定的重要推手，严重渎职事实证明，2人已经不再适任。
    ","杭州,上城区",目前可溯平台正在进行的出借人确权，确权行为主体是可溯平台（企业），政府相关部门（金融办、经******）作为监督单位。确权经过第三方机构法大大的验证，数据除了平台自身服务器保存，企业云保存外，也在经侦及金融办分别保存。下一步在选举出借委会后，相关确权数据也将移交借委会一份，供查询。新一届借委会也将把同权同兑做为第一要务，督促平台落实。,2019/01/29,2019/01/28,杭州市上城区人民政府金融工作办公室,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303333383036313434
可溯金融，利用互联网金融平台，诈骗出借人血汗钱不还，涉嫌自融诈骗，目前出借人已经搜集到相关证据，另外其不按照最初公布的兑付方案偿还出借人欠款，已经构成违约，所作所为，极其恶劣，希望党和政府为我们做主！,"杭州,上城区",可溯金融借委会选举正在有序开展中，借委会成立后将了解平台核心借款企业情况，协助平台与借款企业设定还款计划，监督平台回款账户，力争更好更快回款。政府也希望出借人能积极参与借委会的选举工作，在借委会成立后发挥******优势，在催收等方面给予借委会最大的支持。,2019/01/29,2019/01/28,杭州市上城区人民政府金融工作办公室,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303333373835383732
开通充值杭州市民卡寺院年票功能，市民中心无法提供正规发票，只有一张凭证，给群众带来不便，请相关部门查处,"杭州,上城区",    您好。我司发行的市民卡上可加载寺庙年票功能，但该功能的开通规则、应用范围等由杭州市佛教协会制定。因杭州市佛教协会是社会免税单位，不提供发票。因而我司服务网点办理该业务时只可提供相应凭证。敬请谅解。,2019/01/31,2019/01/30,浙江省杭州市金融集团,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=4c443230313930303134393831373135
" 杭州国鼎文化科技发展股份有限公司（可溯金融），利用大量发放赠送无限制使用红包作为诱饵布置陷阱，通过客服电话回访，短信轰炸，微信推送，QQ邀请等多种电信方式诱骗群众，再用假标自融等手段，骗取出借人13亿资金，于2018年7月15日18时借机恶意清盘！巨额待收款中其实只有少部分为真实出借款，可溯现为空壳公司已无实际偿还能力，总是喊着******联的口号，发布极不合理霸王条款及兑付方案，就连自己单方发布没人认可的兑付方案也从不履行条约，一直都是拒绝核查标的真实情况，拒不公示逾期项目，隐瞒所有借款方的真实情况，谎称所有待还借款人全是老赖，所有标的全部逾期，用虚假老赖名单和虚假的随机兑付名单不断欺瞒受害人，无限拖延时间，暗中转移资产并侍机跑路。上万受害人曾多次统一集中在当地政府和经侦报案，却都是以平台还没跑路，未发现明显违规行为而屡次遭拒，不予立案，懒政不作为！
  可溯金融违法行为如下：1.国鼎文化科技产业发展有限公司（可溯金融平合）未经主管部门批准，未经地方金融管理办公室备案，就非法从事金融经营活动。2.可溯金融使用假公章、假合同骗取出借人的资金。3违规披露重要经济财务信息，发布虚假的财务公告，向借款人传递错误信号，自开业到今日只披露8笔逾期借款合同，逾期金额共有166万元均有其公司垫付。4.2018年10月22日至今平台以确权为名截留回款本金，强迫出借人签订霸王条款，非法占有出借人本息。5.可溯金融于2019年1月6日又擅自修改我们出借人的待收资金账户，强行侵占我们的本金，剥夺出借人的合法财产，到了无法无天的地步。6 平台作为中介机构所应收取的手续费用、佣金已经在借款业务发生时提取，现在平台打着催收的名义，擅自截留出借人的本金，仅2018年9月14到20日平台支出费用七十万余万元，用于平台人员的报酬和挥霍，属于非法占有。
  杭州上城金融办作为金融主管部门理应主动站出来为受害百姓伸张正义，及时追回重大经济损失，相反金融办腐败官员楼杭杰的主导可溯金融1.搞非法权益确权，重签协议篡改原始合同！2.支持平台非法选举借委会，剥夺不确权出借人的合法选举和被选举权。我们都有原借款合同，早就已经确认了债权的，是最有法律效力的文件，其真实目的想把我们推下陷阱！赖帐不还钱，还可逃脱法律责任！3.金融办楼杭杰等国家工作人员利用职权包屁支持可溯金融的违法犯罪行为。请求查处！","杭州,上城区",目前可溯平台正在进行的出借人确权，确权行为主体是可溯平台（企业），政府相关部门（金融办、经******）作为监督单位。确权经过第三方机构法大大的验证，数据除了平台自身服务器保存，企业云保存外，也在经侦及金融办分别保存。下一步在选举出借委会后，相关确权数据也将移交借委会一份，供查询。新一届借委会也将把同权同兑做为第一要务，督促平台落实。,2019/01/31,2019/01/30,杭州市上城区人民政府金融工作办公室,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303336373836313534
"为何在营业执照已经过工商局的“核验原件”租赁地址的合同或者房产文件情况下，文化局依旧要来“核验原件”房产合同原件？
明显是多余的举动，对租赁户来说，一般要请房产所有人来带证操作（所有人不可能直接交给租赁户来操作）","杭州,上城区",经调查了解，该事项非我局工作人员所为。由于信访人未留联系方式，无法与其取得联系，建议信访局进一步核实。,2019/02/01,2019/01/30,上城区文化广电新闻出版局,浙江省政务服务网,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303336343534363937
"尊敬的领导你们好
有一事想咨询一下，关于浙江省中医院女职工的生育费用问题
有一女员工为中医院的正式编制内的员工，缴纳的是省医保（养老，医疗，工伤），未缴纳相关的生育险。
问题就是根据其所在部门，也有部份女同事生育已经完成的，在生育期间，相关的费用都无法报销（一般医院的结算窗口都会你要一个生育编号，因为没有缴纳生育险无法进行社保进行结算），都是自费
另外在休产假期间，发放的工资极低******他们的薪资标准是怎么样的，问相关的人事科都是很不耐烦的（事业单位的工资单一般人看不懂，各种构成，就不知道在生育和休产假期的工资标准到底是什么？）同时因为没有缴纳生育险也无法享受生育津贴这一福利，请问这些操作，是否合规
按照浙江省女职工劳动保护办法中提到（  第十五条　女职工产前检查、生育或者流产产生的医疗费用，按照生育保险规定的项目和标准支付。对已经参加生育保险的，由生育保险基金支付；对未参加生育保险的，由用人单位支付。
    第十六条　女职工参加生育保险的，按照本办法规定的产假天数享受产假期间的生育津贴。生育津贴按照用人单位上年度职工月平均工资的标准由生育保险基金支付，用人单位不再支付产假期间工资。生育津贴计发标准高于女职工产假前工资标准的，用人单位不得克扣差额部分；低于女职工产假前工资标准的，有条件的用人单位可以对差额部分予以补足。
    女职工未参加生育保险的，由用人单位按照女职工产假前工资标准支付其产假期间的工资。）
办法中相关规定，所在单位是应该付起关的责任的，按照目前了解到的，在浙江省中医院只要女职工生育，无法报销生育相关费用，全部自费，工资按最低，无法享受奖金待遇，生育津贴也没有，请问这个女职工的正当权益在哪里，大家挤破头进的事来编制单位又是享受到了什么福利呢？","杭州,上城区",已联系咨询人电话，但手机无人接听，现已经短信留言。具体是什么情况了解了以后，工作人员将会详细解答。,2019/02/02,2019/01/31,浙江省医疗保障局,浙江省政务服务网,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303337393332393334
据我所知原小营小学已并入穆兴小学，现位于皮市巷的小营小学原址的校舍装修过后，显示学校名称为小营小学。请问此学校公办还是民办，与现在的穆兴小学是什么关系。,"杭州,上城区",2018******政府、区教育局投入资金对学校进行整体装修，提升了学校的办学品质。学校为公办学校，是杭州市回族穆兴小学的一个校区，小营小学是学校的第二校名。,2019/02/02,2019/01/31,上城区教育局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=4c443230313930303135303632393836
